CODE,nationality,iso_code
1,Albanian,AL
2,Algerian,DZ
3,Andorran,AD
4,Anguillan,AI
6,Argentinie,AR
7,Armenian,AM
8,Aruban,AW
9,Australian,AU
10,Austrian,AT
11,Azerbaijani,AZ
12,Bahamian,BS
13,Bahraini,BH
14,Bangladeshi,BD
15,Barbadian,BB
16,Belarusian,BY
17,Belgian,BE
18,Belizean,BZ
19,Beninese,BJ
20,Bolivian,BO
22,Botswana,BW
23,Brazilian,BR
24,"British  virgin islander",VG
26,Bulgarian,BG
27,Burkinabe,BF
28,Burundian,BI
29,Cambodian,KH
30,Cameroonian,CM
31,Canadian,CA
32,"Cape verdean",CV
33,Caymanian,KY
34,Chadian,TD
35,Chilean,CL
36,Chinese,CN
37,Colombian,CO
38,Congolese,CG
39,"Cook islander",CK
40,"Costa rican",CR
42,Croatian,HR
43,Cuban,CU
44,Cypriot,CY
45,Czech,CZ
46,Danish,DK
47,Djiboutian,DJ
48,Dominican,DO
49,Salvadoran,SV
50,Equadorian,EC
51,Eritrean,ER
52,Estonian,EE
53,Ethiopian,ET
55,Finnish,FI
56,French,FR
57,"French polynesian",PF
59,Gabonese,GA
60,Gambian,GM
61,Georgian,GE
62,German,DE
63,Ghanian,GH
64,Gibraltarian,GI
65,Greek,GR
66,"Greek - mainlander",GR
67,Greenlander,GL
68,Grenadian,GD
70,Guamanian,GU
71,Guatemalan,GT
72,Guinean,GN
73,Haitian,HT
74,Honduran,HN
75,Hungarian,HU
76,Icelander,IS
77,Indian,IN
78,Indonesian,ID
79,Iranian,IR
80,Iraqi,IQ
81,Isrish,IE
82,Israeli,IL
83,Italian,IT
84,Jamaican,JM
85,Japanese,JP
86,Jordanian,JO
87,Kazakhstani,KZ
88,Kenyan,KE
89,Kyrgyzstani,KG
90,Laotian,LA
91,Latvian,LV
92,Lebanese,LB
93,Liberian,LR
94,Libyan,LY
95,Liechtensteiner,LI
96,Lithuanian,LT
97,Luxembourger,LU
98,Malyasian,MY
99,Maldivian,MV
100,Maltese,MT
102,Mauritanian,MR
103,Mauritian,MU
104,Mexican,MX
105,Micronesian,FM
106,Moldavian,MD
107,Monegasque,MC
108,Mongolian,MN
109,Montenegrin,MS
110,Moroccan,MA
111,Mozambican,MZ
112,Burmese,MM
113,Namibian,NA
114,Nepalese,NP
115,Dutch,NL
116,"Dutch (antilles)",AN
117,"New caledonians",NC
118,"New zealander",NZ
119,Nicaraguan,NI
120,Nigerian,NG
122,"Northern marianas",MP
123,Norwegian,NO
124,Omani,OM
125,Pakistani,PK
126,Palauan,PW
128,Panamanian,PA
129,Paraguayan,PY
130,Peruvian,PE
131,Filipino,PH
132,Polish,PL
133,Portuguese,PT
134,"Puerto rican",PR
135,Qatari,QA
136,Romanian,RO
137,Russian,RU
138,Rwandan,RW
140,Sanmarineze,SM
142,Saudi,SA
143,Senegalese,SN
144,Serbian,RS
145,Seychelloys,SC
146,Singaporean,SG
147,Slovakian,SK
148,Slovenian,SI
149,"South african",ZA
150,"South korean",KR
151,Spanish,ES
152,"Sri lankan",LK
157,Sudanese,SD
158,Surinamese,SR
159,Swazi,SZ
160,Swedish,SE
161,Swiss,CH
162,Syrian,SY
163,Taiwanese,TW
164,Tajik,TJ
165,Tanzanian,TZ
166,Thai,TH
167,Togolese,TG
169,Tunisian,TN
170,Turkish,TR
172,Ugandan,UG
173,Ukrainian,UA
174,Emirati,AE
175,British,GB
176,American,US
177,Uruguayan,UY
178,"Us virgin islander",VI
179,Uzbeks,UZ
180,Vanuatuan,VU
181,Venezuelan,VE
182,Vietnamese,VN
183,Yemeni,YE
185,Zimbabwean,ZW
186,Kuwaiti,KW
187,"Hong konger",HK
188,Egyptian,EG
189,Macao,MO
190,Comorian,KM
191,Afghan,AF
192,Ivorian,CI
195,Malawian,MW
196,Turkmen,TM
198,Malagasy,MG
